Num_G_nodes, Avg_time, Max_cost, Avg_cost, Netx_avg_cost, Percent_MIS, Density
15,1.4448629856109618,10.0,10.0,9.6,1.0,0.1
16,1.4896908760070802,10.0,10.0,9.2,1.0,0.1
17,1.5171886444091798,12.0,12.0,9.2,1.0,0.1
18,1.5502688407897949,12.0,12.0,10.8,1.0,0.1
19,1.5227145195007323,11.0,11.0,10.2,1.0,0.1
20,1.5611701011657715,12.0,12.0,11.2,1.0,0.1
21,1.5904118061065673,13.0,13.0,12.0,1.0,0.1
22,1.618524694442749,13.0,13.0,11.4,1.0,0.1
23,1.6379993915557862,13.0,13.0,11.6,1.0,0.1
24,1.6827069759368896,14.0,14.0,12.8,1.0,0.1
25,1.6365429878234863,13.0,13.0,12.0,1.0,0.1
26,1.683375310897827,14.0,14.0,11.6,1.0,0.1
27,1.7416451454162598,15.0,15.0,12.8,1.0,0.1
28,1.7474372863769532,15.0,15.0,13.2,1.0,0.1
29,1.8284568309783935,16.0,16.0,14.4,1.0,0.1
30,1.7292495727539063,15.0,15.0,14.0,1.0,0.1
31,1.780413818359375,16.0,16.0,14.2,1.0,0.1
32,1.9195786952972411,17.0,17.0,14.4,1.0,0.1
33,1.9213484287261964,18.0,18.0,14.4,1.0,0.1
34,1.8991077899932862,16.0,16.0,14.2,1.0,0.1
35,1.851487112045288,16.0,16.0,13.8,1.0,0.1
36,1.9778913497924804,18.0,18.0,15.4,1.0,0.1
37,2.0885385990142824,20.0,20.0,15.6,1.0,0.1
38,2.0460638999938965,18.0,18.0,14.8,1.0,0.1
39,2.0519147396087645,17.0,17.0,16.2,1.0,0.1
40,2.0573118686676026,18.0,18.0,13.6,1.0,0.1
41,2.1243192195892333,19.0,19.0,16.8,1.0,0.1
42,2.1223198890686037,20.0,20.0,16.2,1.0,0.1
43,2.163335657119751,19.0,19.0,16.0,1.0,0.1
44,2.2130674362182616,21.0,21.0,16.6,1.0,0.1
45,2.3097320079803465,21.0,21.0,16.4,1.0,0.1
46,2.2628971099853517,21.0,21.0,17.0,1.0,0.1
47,2.2477865695953367,20.0,20.0,16.6,1.0,0.1
48,2.305475950241089,21.0,21.0,16.6,1.0,0.1
49,2.414638805389404,24.0,24.0,19.0,1.0,0.1
50,2.394632625579834,22.0,22.0,17.6,1.0,0.1
51,2.4330903053283692,22.0,22.0,17.6,1.0,0.1
52,2.3994720458984373,21.0,21.0,17.6,1.0,0.1
53,2.4451863765716553,21.0,21.0,18.2,1.0,0.1
54,2.5478089332580565,23.0,23.0,20.4,1.0,0.1
55,2.5717185020446776,23.0,23.0,16.8,1.0,0.1
56,2.5358302116394045,23.0,22.6,19.8,1.0,0.1
57,2.59892201423645,23.0,23.0,18.2,1.0,0.1
58,2.6403647899627685,23.0,23.0,19.6,1.0,0.1
59,2.685790777206421,23.0,23.0,17.8,1.0,0.1
60,2.5909560203552244,22.0,22.0,17.8,1.0,0.1
61,2.7149194717407226,23.0,23.0,19.2,1.0,0.1
62,2.668782138824463,24.0,24.0,19.6,1.0,0.1
63,2.7301326751708985,24.0,24.0,18.6,1.0,0.1
64,2.8922706604003907,24.0,24.0,19.8,1.0,0.1
65,2.8868129730224608,25.0,25.0,20.0,1.0,0.1
66,2.772565984725952,23.0,23.0,19.6,1.0,0.1
67,2.958448791503906,27.0,27.0,22.0,1.0,0.1
