Num_G_nodes, Avg_time, Max_cost, Avg_cost, Netx_avg_cost, Percent_MIS, Density
103,0.2263184070587158,30.0,28.4,23.8,1.0,0.1
104,0.22159934043884277,29.0,27.4,22.8,1.0,0.1
105,0.23771047592163086,31.0,29.0,25.4,1.0,0.1
106,0.23895702362060547,30.0,29.2,24.4,1.0,0.1
107,0.23086194992065429,28.0,26.6,23.8,1.0,0.1
108,0.25138063430786134,31.0,29.4,23.2,1.0,0.1
109,0.23072519302368164,30.0,28.6,25.0,1.0,0.1
110,0.24735093116760254,33.0,29.8,24.8,1.0,0.1
111,0.2534599781036377,32.0,30.0,24.6,1.0,0.1
112,0.24439539909362792,30.0,29.0,23.2,1.0,0.1
113,0.2712388515472412,32.0,30.2,24.2,1.0,0.1
114,0.24862051010131836,31.0,30.0,23.2,1.0,0.1
115,0.2630152702331543,32.0,31.0,23.2,1.0,0.1
116,0.2432084083557129,31.0,29.4,24.4,1.0,0.1
117,0.2612923145294189,32.0,29.2,25.4,1.0,0.1
118,0.25306062698364257,31.0,30.0,25.8,1.0,0.1
119,0.24606776237487793,30.0,29.0,24.8,1.0,0.1
120,0.26314144134521483,31.0,30.6,25.0,1.0,0.1
121,0.2755290985107422,32.0,31.0,25.4,1.0,0.1
122,0.26131210327148435,30.0,29.0,25.4,1.0,0.1
123,0.2739844799041748,32.0,30.0,27.2,1.0,0.1
124,0.2641550064086914,32.0,30.8,26.6,1.0,0.1
125,0.26023316383361816,32.0,30.4,23.8,1.0,0.1
126,0.2671632766723633,31.0,29.6,26.6,1.0,0.1
127,0.2716853141784668,32.0,30.2,26.6,1.0,0.1
128,0.26665549278259276,32.0,29.8,27.6,1.0,0.1
129,0.28187880516052244,31.0,30.6,25.2,1.0,0.1
130,0.2868815898895264,30.0,29.0,26.2,1.0,0.1
131,0.2908823013305664,32.0,31.0,27.6,1.0,0.1
132,0.28753271102905276,31.0,30.2,27.6,1.0,0.1
133,0.2967341899871826,32.0,31.0,24.8,1.0,0.1
134,0.30571870803833007,33.0,31.6,26.4,1.0,0.1
135,0.3068106651306152,35.0,33.4,26.8,1.0,0.1
136,0.29612298011779786,32.0,30.4,26.8,1.0,0.1
137,0.30567197799682616,34.0,33.0,29.2,1.0,0.1
138,0.3133983135223389,36.0,33.0,28.2,1.0,0.1
139,0.3241737365722656,32.0,31.2,25.2,1.0,0.1
140,0.3012405872344971,32.0,30.8,26.8,1.0,0.1
141,0.3185756206512451,32.0,31.2,24.8,1.0,0.1
142,0.33711671829223633,32.0,31.8,26.4,1.0,0.1
143,0.31342573165893556,34.0,31.8,25.6,1.0,0.1
144,0.3136565685272217,32.0,31.4,27.2,1.0,0.1
145,0.3299609661102295,32.0,31.8,25.8,1.0,0.1
146,0.3285717010498047,32.0,31.2,26.8,1.0,0.1
147,0.3348869800567627,33.0,31.8,25.8,1.0,0.1
148,0.3437671184539795,37.0,34.2,28.6,1.0,0.1
149,0.3298017501831055,35.0,33.8,30.0,1.0,0.1
150,0.3442887306213379,34.0,31.8,26.6,1.0,0.1
151,0.3339362144470215,34.0,30.8,26.2,1.0,0.1
152,0.3496145725250244,34.0,33.4,28.2,1.0,0.1
153,0.3351771354675293,34.0,31.4,27.0,1.0,0.1
154,0.3346292495727539,36.0,34.0,25.6,1.0,0.1
155,0.34007992744445803,34.0,31.8,27.4,1.0,0.1
156,0.3558330059051514,34.0,31.6,27.4,1.0,0.1
157,0.3560445785522461,34.0,32.8,28.2,1.0,0.1
158,0.34404497146606444,35.0,32.2,27.6,1.0,0.1
159,0.3710501670837402,34.0,33.2,28.0,1.0,0.1
160,0.37513084411621095,35.0,33.8,29.2,1.0,0.1
161,0.36530776023864747,34.0,32.4,28.0,1.0,0.1
162,0.36147274971008303,36.0,33.0,29.6,1.0,0.1
163,0.37899346351623536,36.0,33.8,28.4,1.0,0.1
164,0.3720701217651367,34.0,32.6,27.6,1.0,0.1
165,0.37911171913146974,35.0,32.4,27.0,1.0,0.1
166,0.37371506690979006,35.0,33.2,26.6,1.0,0.1
167,0.37676386833190917,34.0,33.0,28.8,1.0,0.1
168,0.38741064071655273,35.0,34.0,26.4,1.0,0.1
169,0.3963296890258789,36.0,34.4,28.2,1.0,0.1
170,0.39131526947021483,36.0,34.2,29.6,1.0,0.1
171,0.3929842472076416,34.0,33.2,26.6,1.0,0.1
172,0.4000878810882568,39.0,34.6,30.4,1.0,0.1
173,0.40810461044311525,34.0,33.2,28.4,1.0,0.1
174,0.3737664699554443,35.0,33.8,28.4,1.0,0.1
175,0.39923934936523436,36.0,34.6,26.6,1.0,0.1
176,0.3968992233276367,35.0,33.6,28.2,1.0,0.1
177,0.41992816925048826,33.0,32.4,28.2,1.0,0.1
178,0.40958237648010254,34.0,32.6,28.8,1.0,0.1
179,0.4599916934967041,38.0,35.2,29.4,1.0,0.1
180,0.41377935409545896,35.0,32.8,28.8,1.0,0.1
181,0.4187001705169678,36.0,34.8,27.4,1.0,0.1
182,0.4098930358886719,35.0,33.8,30.2,1.0,0.1
183,0.43454527854919434,37.0,33.4,30.2,1.0,0.1
