300,9.0,0.0,14948
300,9.0,0.0,15050
300,10.0,0.0,19217
300,10.0,0.0,12714
300,10.0,0.0,18724
300,9.0,0.0,15136
300,9.0,0.0,11550
300,9.0,0.0,14539
300,9.0,0.0,13934
300,9.0,0.0,16144
300,9.0,0.0,12724
300,9.0,0.0,15547
300,9.0,0.0,11644
300,8.0,0.0,11639
300,10.0,0.0,13715
400,12.0,0.0,19482
400,10.0,0.0,18762
400,10.0,0.0,19404
400,9.0,0.0,14757
400,9.0,0.0,12128
400,10.0,0.0,15989
400,9.0,0.0,12888
400,10.0,0.0,14298
400,10.0,0.0,16943
400,10.0,0.0,20679
400,9.0,0.0,17843
400,9.0,0.0,13285
400,10.0,0.0,18469
400,9.0,0.0,17451
400,10.0,0.0,14859
500,10.0,0.0,15655
500,11.0,0.0,14928
500,10.0,0.0,12216
500,10.0,0.0,20175
500,9.0,0.0,12770
500,10.0,0.0,13492
500,10.0,0.0,13005
500,9.0,0.0,13005
500,11.0,0.0,23863
500,11.0,0.0,15810
500,9.0,0.0,12801
500,10.0,0.0,13611
500,9.0,0.0,14388
500,10.0,0.0,14416
500,10.0,0.0,11536
