Num_G_nodes, Avg_time, Max_cost, Avg_cost, Netx_avg_cost, Percent_MIS, Density
15,0.14622416496276855,9.0,9.0,8.6,1.0,0.1
16,0.15775818824768068,10.0,10.0,9.4,1.0,0.1
17,0.16126184463500975,11.0,11.0,10.4,1.0,0.1
18,0.16068625450134277,13.0,13.0,12.6,1.0,0.1
19,0.16238980293273925,11.0,11.0,10.2,1.0,0.1
20,0.15753817558288574,11.0,11.0,10.8,1.0,0.1
21,0.1650473117828369,13.0,13.0,10.4,1.0,0.1
22,0.1627058982849121,12.0,12.0,11.6,1.0,0.1
23,0.17242131233215333,14.0,14.0,12.2,1.0,0.1
24,0.16976490020751953,14.0,14.0,12.4,1.0,0.1
25,0.17675647735595704,14.0,14.0,12.0,1.0,0.1
26,0.1770397186279297,14.0,14.0,13.0,1.0,0.1
27,0.17474656105041503,14.0,14.0,13.4,1.0,0.1
28,0.1881359577178955,16.0,16.0,13.2,1.0,0.1
29,0.18391342163085939,15.0,15.0,13.8,1.0,0.1
30,0.19092469215393065,16.0,16.0,14.2,1.0,0.1
31,0.18669848442077636,16.0,16.0,15.0,1.0,0.1
32,0.1943544864654541,18.0,18.0,15.8,1.0,0.1
33,0.20049734115600587,17.0,17.0,14.4,1.0,0.1
34,0.20408835411071777,18.0,18.0,16.4,1.0,0.1
35,0.1993938446044922,16.0,16.0,13.4,1.0,0.1
36,0.21223759651184082,18.0,18.0,16.4,1.0,0.1
37,0.2261789321899414,18.0,18.0,16.2,1.0,0.1
38,0.21199092864990235,18.0,18.0,15.6,1.0,0.1
39,0.2166722297668457,19.0,19.0,17.0,1.0,0.1
40,0.2266378402709961,20.0,20.0,17.6,1.0,0.1
41,0.2184506893157959,20.0,20.0,17.0,1.0,0.1
42,0.23032789230346679,20.0,19.6,15.6,1.0,0.1
43,0.2321627616882324,19.0,19.0,16.6,1.0,0.1
44,0.23163270950317383,19.0,18.8,15.6,1.0,0.1
45,0.2478410243988037,21.0,21.0,17.6,1.0,0.1
46,0.22543702125549317,19.0,19.0,16.8,1.0,0.1
47,0.25318284034729005,21.0,20.8,18.2,1.0,0.1
48,0.2424619674682617,20.0,20.0,17.8,1.0,0.1
49,0.24335780143737792,21.0,20.2,16.8,1.0,0.1
50,0.247698974609375,21.0,20.6,17.8,1.0,0.1
51,0.2538966178894043,23.0,22.6,18.6,1.0,0.1
52,0.26192440986633303,24.0,23.8,19.2,1.0,0.1
53,0.2625990390777588,22.0,21.8,18.4,1.0,0.1
54,0.2601572036743164,24.0,23.6,19.2,1.0,0.1
55,0.2660963535308838,22.0,21.8,17.8,1.0,0.1
56,0.27240376472473143,24.0,23.4,18.6,1.0,0.1
57,0.27646307945251464,23.0,22.6,20.0,1.0,0.1
58,0.26996922492980957,23.0,22.2,20.0,1.0,0.1
59,0.2768467903137207,23.0,22.8,19.2,1.0,0.1
60,0.27219882011413576,23.0,22.2,19.0,1.0,0.1
